,Unnamed: 0,Unnamed: 0.1,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,color_black,color_blue,color_brown,color_green,color_orange,color_pink,color_purple,color_red,color_white,color_yellow
0,0,0,1,5.1,3.5,1.4,0.2,Iris-setosa,0,0,0,1,0,0,0,0,0,0
1,1,1,2,4.9,3.0,1.4,0.2,Iris-setosa,0,0,0,0,0,1,0,0,0,0
2,2,2,3,4.7,3.2,1.3,0.2,Iris-setosa,0,0,0,0,0,0,1,0,0,0
3,3,3,4,4.6,3.1,1.5,0.2,Iris-setosa,0,0,0,1,0,0,0,0,0,0
4,4,4,5,5.0,3.6,1.4,0.2,Iris-setosa,0,0,0,0,1,0,0,0,0,0
5,5,5,6,5.4,3.9,1.7,0.4,Iris-setosa,0,0,0,0,0,0,0,0,1,0
6,6,6,7,4.6,3.4,1.4,0.3,Iris-setosa,0,0,0,0,0,0,1,0,0,0
7,7,7,8,5.0,3.4,1.5,0.2,Iris-setosa,0,0,0,1,0,0,0,0,0,0
8,8,8,9,4.4,2.9,1.4,0.2,Iris-setosa,0,0,0,0,0,0,0,1,0,0
9,9,9,10,4.9,3.1,1.5,0.1,Iris-setosa,1,0,0,0,0,0,0,0,0,0
10,10,10,11,5.4,3.7,1.5,0.2,Iris-setosa,0,0,0,0,0,0,0,0,1,0
11,11,11,12,4.8,3.4,1.6,0.2,Iris-setosa,0,0,0,0,0,1,0,0,0,0
12,12,12,13,4.8,3.0,1.4,0.1,Iris-setosa,0,0,0,0,0,0,0,1,0,0
13,13,13,14,4.3,3.0,1.1,0.1,Iris-setosa,0,1,0,0,0,0,0,0,0,0
14,14,14,15,5.8,4.0,1.2,0.2,Iris-setosa,0,0,0,0,0,0,0,0,1,0
15,15,15,16,5.7,4.4,1.5,0.4,Iris-setosa,0,0,0,1,0,0,0,0,0,0
16,16,16,17,5.4,3.9,1.3,0.4,Iris-setosa,0,0,0,0,0,0,0,0,1,0
17,17,17,18,5.1,3.5,1.4,0.3,Iris-setosa,0,0,0,0,0,0,0,0,1,0
18,18,18,19,5.7,3.8,1.7,0.3,Iris-setosa,1,0,0,0,0,0,0,0,0,0
19,19,19,20,5.1,3.8,1.5,0.3,Iris-setosa,0,0,0,0,0,0,0,0,0,1
20,20,20,21,5.4,3.4,1.7,0.2,Iris-setosa,0,1,0,0,0,0,0,0,0,0
21,21,21,22,5.1,3.7,1.5,0.4,Iris-setosa,0,0,0,0,0,0,0,0,0,1
22,22,22,23,4.6,3.6,1.0,0.2,Iris-setosa,0,1,0,0,0,0,0,0,0,0
23,23,23,24,5.1,3.3,1.7,0.5,Iris-setosa,0,0,0,0,0,1,0,0,0,0
24,24,24,25,4.8,3.4,1.9,0.2,Iris-setosa,1,0,0,0,0,0,0,0,0,0
25,25,25,26,5.0,3.0,1.6,0.2,Iris-setosa,0,0,0,0,0,0,0,1,0,0
26,26,26,27,5.0,3.4,1.6,0.4,Iris-setosa,0,0,0,1,0,0,0,0,0,0
27,27,27,28,5.2,3.5,1.5,0.2,Iris-setosa,0,0,0,0,1,0,0,0,0,0
28,28,28,29,5.2,3.4,1.4,0.2,Iris-setosa,0,0,0,0,0,0,0,1,0,0
29,29,29,30,4.7,3.2,1.6,0.2,Iris-setosa,0,0,0,0,1,0,0,0,0,0
30,30,30,31,4.8,3.1,1.6,0.2,Iris-setosa,0,1,0,0,0,0,0,0,0,0
31,31,31,32,5.4,3.4,1.5,0.4,Iris-setosa,0,0,0,0,0,0,0,1,0,0
32,32,32,33,5.2,4.1,1.5,0.1,Iris-setosa,0,0,1,0,0,0,0,0,0,0
33,33,33,34,5.5,4.2,1.4,0.2,Iris-setosa,0,1,0,0,0,0,0,0,0,0
34,34,34,35,4.9,3.1,1.5,0.1,Iris-setosa,0,0,0,0,0,0,0,1,0,0
35,35,35,36,5.0,3.2,1.2,0.2,Iris-setosa,0,0,0,1,0,0,0,0,0,0
36,36,36,37,5.5,3.5,1.3,0.2,Iris-setosa,0,0,0,0,0,0,0,0,1,0
37,37,37,38,4.9,3.1,1.5,0.1,Iris-setosa,0,0,0,0,1,0,0,0,0,0
38,38,38,39,4.4,3.0,1.3,0.2,Iris-setosa,0,0,0,0,1,0,0,0,0,0
39,39,39,40,5.1,3.4,1.5,0.2,Iris-setosa,0,0,0,0,1,0,0,0,0,0
40,40,40,41,5.0,3.5,1.3,0.3,Iris-setosa,0,0,0,0,0,0,0,1,0,0
41,41,41,42,4.5,2.3,1.3,0.3,Iris-setosa,0,0,0,0,0,0,0,1,0,0
42,42,42,43,4.4,3.2,1.3,0.2,Iris-setosa,0,0,0,0,0,0,1,0,0,0
43,43,43,44,5.0,3.5,1.6,0.6,Iris-setosa,1,0,0,0,0,0,0,0,0,0
44,44,44,45,5.1,3.8,1.9,0.4,Iris-setosa,0,1,0,0,0,0,0,0,0,0
45,45,45,46,4.8,3.0,1.4,0.3,Iris-setosa,0,0,0,0,1,0,0,0,0,0
46,46,46,47,5.1,3.8,1.6,0.2,Iris-setosa,0,0,0,0,0,0,0,0,0,1
47,47,47,48,4.6,3.2,1.4,0.2,Iris-setosa,0,0,0,0,1,0,0,0,0,0
48,48,48,49,5.3,3.7,1.5,0.2,Iris-setosa,0,0,0,0,0,0,0,1,0,0
49,49,49,50,5.0,3.3,1.4,0.2,Iris-setosa,0,0,0,0,0,0,1,0,0,0
50,50,50,51,7.0,3.2,4.7,1.4,Iris-versicolor,0,1,0,0,0,0,0,0,0,0
51,51,51,52,6.4,3.2,4.5,1.5,Iris-versicolor,0,0,0,0,1,0,0,0,0,0
52,52,52,53,6.9,3.1,4.9,1.5,Iris-versicolor,0,0,0,0,0,1,0,0,0,0
53,53,53,54,5.5,2.3,4.0,1.3,Iris-versicolor,0,0,1,0,0,0,0,0,0,0
54,54,54,55,6.5,2.8,4.6,1.5,Iris-versicolor,0,0,0,1,0,0,0,0,0,0
55,55,55,56,5.7,2.8,4.5,1.3,Iris-versicolor,0,1,0,0,0,0,0,0,0,0
56,56,56,57,6.3,3.3,4.7,1.6,Iris-versicolor,1,0,0,0,0,0,0,0,0,0
57,57,57,58,4.9,2.4,3.3,1.0,Iris-versicolor,0,0,0,0,0,0,0,0,0,1
58,58,58,59,6.6,2.9,4.6,1.3,Iris-versicolor,0,0,0,0,1,0,0,0,0,0
59,59,59,60,5.2,2.7,3.9,1.4,Iris-versicolor,0,0,0,0,0,0,0,1,0,0
60,60,60,61,5.0,2.0,3.5,1.0,Iris-versicolor,0,0,0,0,0,0,1,0,0,0
61,61,61,62,5.9,3.0,4.2,1.5,Iris-versicolor,0,0,0,0,0,0,0,1,0,0
62,62,62,63,6.0,2.2,4.0,1.0,Iris-versicolor,1,0,0,0,0,0,0,0,0,0
63,63,63,64,6.1,2.9,4.7,1.4,Iris-versicolor,0,0,0,0,0,0,0,0,1,0
64,64,64,65,5.6,2.9,3.6,1.3,Iris-versicolor,0,0,1,0,0,0,0,0,0,0
65,65,65,66,6.7,3.1,4.4,1.4,Iris-versicolor,0,0,0,0,1,0,0,0,0,0
66,66,66,67,5.6,3.0,4.5,1.5,Iris-versicolor,0,1,0,0,0,0,0,0,0,0
67,67,67,68,5.8,2.7,4.1,1.0,Iris-versicolor,0,0,0,1,0,0,0,0,0,0
68,68,68,69,6.2,2.2,4.5,1.5,Iris-versicolor,0,0,1,0,0,0,0,0,0,0
69,69,69,70,5.6,2.5,3.9,1.1,Iris-versicolor,0,0,1,0,0,0,0,0,0,0
70,70,70,71,5.9,3.2,4.8,1.8,Iris-versicolor,0,0,0,0,0,1,0,0,0,0
71,71,71,72,6.1,2.8,4.0,1.3,Iris-versicolor,0,0,0,0,0,1,0,0,0,0
72,72,72,73,6.3,2.5,4.9,1.5,Iris-versicolor,0,0,0,0,0,1,0,0,0,0
73,73,73,74,6.1,2.8,4.7,1.2,Iris-versicolor,0,1,0,0,0,0,0,0,0,0
74,74,74,75,6.4,2.9,4.3,1.3,Iris-versicolor,0,0,1,0,0,0,0,0,0,0
75,75,75,76,6.6,3.0,4.4,1.4,Iris-versicolor,0,0,0,1,0,0,0,0,0,0
76,76,76,77,6.8,2.8,4.8,1.4,Iris-versicolor,0,0,0,0,0,0,0,0,1,0
77,77,77,78,6.7,3.0,5.0,1.7,Iris-versicolor,1,0,0,0,0,0,0,0,0,0
78,78,78,79,6.0,2.9,4.5,1.5,Iris-versicolor,0,0,0,1,0,0,0,0,0,0
79,79,79,80,5.7,2.6,3.5,1.0,Iris-versicolor,1,0,0,0,0,0,0,0,0,0
80,80,80,81,5.5,2.4,3.8,1.1,Iris-versicolor,0,0,0,1,0,0,0,0,0,0
81,81,81,82,5.5,2.4,3.7,1.0,Iris-versicolor,0,0,0,0,0,1,0,0,0,0
82,82,82,83,5.8,2.7,3.9,1.2,Iris-versicolor,0,0,0,0,1,0,0,0,0,0
83,83,83,84,6.0,2.7,5.1,1.6,Iris-versicolor,1,0,0,0,0,0,0,0,0,0
84,84,84,85,5.4,3.0,4.5,1.5,Iris-versicolor,0,0,0,0,0,0,0,0,0,1
85,85,85,86,6.0,3.4,4.5,1.6,Iris-versicolor,0,0,0,0,0,0,0,1,0,0
86,86,86,87,6.7,3.1,4.7,1.5,Iris-versicolor,0,0,0,1,0,0,0,0,0,0
87,87,87,88,6.3,2.3,4.4,1.3,Iris-versicolor,0,0,0,0,0,0,1,0,0,0
88,88,88,89,5.6,3.0,4.1,1.3,Iris-versicolor,0,0,0,0,0,0,0,1,0,0
89,89,89,90,5.5,2.5,4.0,1.3,Iris-versicolor,0,0,0,0,0,0,1,0,0,0
90,90,90,91,5.5,2.6,4.4,1.2,Iris-versicolor,0,0,0,0,0,1,0,0,0,0
91,91,91,92,6.1,3.0,4.6,1.4,Iris-versicolor,0,0,1,0,0,0,0,0,0,0
92,92,92,93,5.8,2.6,4.0,1.2,Iris-versicolor,0,0,0,1,0,0,0,0,0,0
93,93,93,94,5.0,2.3,3.3,1.0,Iris-versicolor,1,0,0,0,0,0,0,0,0,0
94,94,94,95,5.6,2.7,4.2,1.3,Iris-versicolor,0,0,1,0,0,0,0,0,0,0
95,95,95,96,5.7,3.0,4.2,1.2,Iris-versicolor,0,0,0,1,0,0,0,0,0,0
96,96,96,97,5.7,2.9,4.2,1.3,Iris-versicolor,0,0,0,0,0,0,0,0,0,1
97,97,97,98,6.2,2.9,4.3,1.3,Iris-versicolor,0,0,0,0,0,1,0,0,0,0
98,98,98,99,5.1,2.5,3.0,1.1,Iris-versicolor,1,0,0,0,0,0,0,0,0,0
99,99,99,100,5.7,2.8,4.1,1.3,Iris-versicolor,0,0,0,0,0,0,0,0,0,1
100,100,100,101,6.3,3.3,6.0,2.5,Iris-virginica,0,0,0,0,0,0,0,0,0,1
101,101,101,102,5.8,2.7,5.1,1.9,Iris-virginica,0,0,0,0,1,0,0,0,0,0
102,102,102,103,7.1,3.0,5.9,2.1,Iris-virginica,0,0,0,0,0,0,0,1,0,0
103,103,103,104,6.3,2.9,5.6,1.8,Iris-virginica,0,0,1,0,0,0,0,0,0,0
104,104,104,105,6.5,3.0,5.8,2.2,Iris-virginica,1,0,0,0,0,0,0,0,0,0
105,105,105,106,7.6,3.0,6.6,2.1,Iris-virginica,1,0,0,0,0,0,0,0,0,0
106,106,106,107,4.9,2.5,4.5,1.7,Iris-virginica,0,0,0,0,0,0,1,0,0,0
107,107,107,108,7.3,2.9,6.3,1.8,Iris-virginica,0,0,0,0,0,0,0,1,0,0
108,108,108,109,6.7,2.5,5.8,1.8,Iris-virginica,0,0,0,0,1,0,0,0,0,0
109,109,109,110,7.2,3.6,6.1,2.5,Iris-virginica,0,0,0,1,0,0,0,0,0,0
110,110,110,111,6.5,3.2,5.1,2.0,Iris-virginica,0,0,0,0,0,0,0,1,0,0
111,111,111,112,6.4,2.7,5.3,1.9,Iris-virginica,0,0,0,0,0,1,0,0,0,0
112,112,112,113,6.8,3.0,5.5,2.1,Iris-virginica,0,0,0,0,0,0,1,0,0,0
113,113,113,114,5.7,2.5,5.0,2.0,Iris-virginica,0,1,0,0,0,0,0,0,0,0
114,114,114,115,5.8,2.8,5.1,2.4,Iris-virginica,0,0,0,1,0,0,0,0,0,0
115,115,115,116,6.4,3.2,5.3,2.3,Iris-virginica,0,1,0,0,0,0,0,0,0,0
116,116,116,117,6.5,3.0,5.5,1.8,Iris-virginica,0,0,0,1,0,0,0,0,0,0
117,117,117,118,7.7,3.8,6.7,2.2,Iris-virginica,0,0,0,0,1,0,0,0,0,0
118,118,118,119,7.7,2.6,6.9,2.3,Iris-virginica,0,1,0,0,0,0,0,0,0,0
119,119,119,120,6.0,2.2,5.0,1.5,Iris-virginica,0,0,0,1,0,0,0,0,0,0
120,120,120,121,6.9,3.2,5.7,2.3,Iris-virginica,0,0,0,0,1,0,0,0,0,0
121,121,121,122,5.6,2.8,4.9,2.0,Iris-virginica,0,0,0,0,0,0,0,1,0,0
122,122,122,123,7.7,2.8,6.7,2.0,Iris-virginica,0,0,0,0,0,0,0,0,0,1
123,123,123,124,6.3,2.7,4.9,1.8,Iris-virginica,0,0,0,0,0,0,1,0,0,0
124,124,124,125,6.7,3.3,5.7,2.1,Iris-virginica,0,0,0,1,0,0,0,0,0,0
125,125,125,126,7.2,3.2,6.0,1.8,Iris-virginica,1,0,0,0,0,0,0,0,0,0
126,126,126,127,6.2,2.8,4.8,1.8,Iris-virginica,0,0,0,0,0,0,1,0,0,0
127,127,127,128,6.1,3.0,4.9,1.8,Iris-virginica,0,0,0,0,0,0,1,0,0,0
128,128,128,129,6.4,2.8,5.6,2.1,Iris-virginica,0,0,0,0,0,0,0,1,0,0
129,129,129,130,7.2,3.0,5.8,1.6,Iris-virginica,0,0,0,0,1,0,0,0,0,0
130,130,130,131,7.4,2.8,6.1,1.9,Iris-virginica,0,0,0,0,1,0,0,0,0,0
131,131,131,132,7.9,3.8,6.4,2.0,Iris-virginica,0,1,0,0,0,0,0,0,0,0
132,132,132,133,6.4,2.8,5.6,2.2,Iris-virginica,0,1,0,0,0,0,0,0,0,0
133,133,133,134,6.3,2.8,5.1,1.5,Iris-virginica,0,0,1,0,0,0,0,0,0,0
134,134,134,135,6.1,2.6,5.6,1.4,Iris-virginica,0,0,0,0,1,0,0,0,0,0
135,135,135,136,7.7,3.0,6.1,2.3,Iris-virginica,0,0,0,0,0,0,0,1,0,0
136,136,136,137,6.3,3.4,5.6,2.4,Iris-virginica,0,0,1,0,0,0,0,0,0,0
137,137,137,138,6.4,3.1,5.5,1.8,Iris-virginica,0,0,0,0,1,0,0,0,0,0
138,138,138,139,6.0,3.0,4.8,1.8,Iris-virginica,0,0,0,0,0,1,0,0,0,0
139,139,139,140,6.9,3.1,5.4,2.1,Iris-virginica,0,0,1,0,0,0,0,0,0,0
140,140,140,141,6.7,3.1,5.6,2.4,Iris-virginica,0,1,0,0,0,0,0,0,0,0
141,141,141,142,6.9,3.1,5.1,2.3,Iris-virginica,0,0,0,0,1,0,0,0,0,0
142,142,142,143,5.8,2.7,5.1,1.9,Iris-virginica,0,0,0,0,0,0,0,1,0,0
143,143,143,144,6.8,3.2,5.9,2.3,Iris-virginica,0,0,0,0,0,1,0,0,0,0
144,144,144,145,6.7,3.3,5.7,2.5,Iris-virginica,0,0,0,1,0,0,0,0,0,0
145,145,145,146,6.7,3.0,5.2,2.3,Iris-virginica,0,0,0,1,0,0,0,0,0,0
146,146,146,147,6.3,2.5,5.0,1.9,Iris-virginica,0,0,0,0,0,1,0,0,0,0
147,147,147,148,6.5,3.0,5.2,2.0,Iris-virginica,1,0,0,0,0,0,0,0,0,0
148,148,148,149,6.2,3.4,5.4,2.3,Iris-virginica,0,0,0,0,0,0,1,0,0,0
149,149,149,150,5.9,3.0,5.1,1.8,Iris-virginica,0,0,1,0,0,0,0,0,0,0
